state_name,poverty_rate
Alabama,0.15632796709437574
Alaska,0.1018246051711797
Arizona,0.1275994811763248
Arkansas,0.16021199819882354
California,0.11966430251849935
Colorado,0.09383137094541709
Connecticut,0.10026457234687665
Delaware,0.10725553979357237
District of Columbia,0.14530603172839163
Florida,0.12617431387860695
Georgia,0.13476086879327692
Hawaii,0.09965589658450755
Idaho,0.10636214449432412
Illinois,0.11717428435647317
Indiana,0.12204960861946967
Iowa,0.10990487839688874
Kansas,0.11523906119151173
Kentucky,0.16142133276870396
Louisiana,0.18884450663349456
Maine,0.10781415933833108
Maryland,0.09349868647126637
Massachusetts,0.0998217416202257
Michigan,0.13050559525962532
Minnesota,0.09197386318481006
Mississippi,0.19064732434804532
Missouri,0.12621002405826032
Montana,0.12045774647887324
Nebraska,0.10295297089504381
Nevada,0.12592176165452165
New Hampshire,0.07155823913480534
New Jersey,0.09770946890342179
New Mexico,0.18100621209659104
New York,0.13700021916536673
North Carolina,0.13166957247475114
North Dakota,0.10581470599569714
Ohio,0.13238334360874307
Oklahoma,0.15333337809064285
Oregon,0.11893212635745122
Pennsylvania,0.11776952629482934
Rhode Island,0.10905573622351443
South Carolina,0.1418945601105
South Dakota,0.12013255720926383
Tennessee,0.137736544859406
Texas,0.1380372661817198
Utah,0.08557002553837406
Vermont,0.10267195809701313
Virginia,0.09923166908783258
Washington,0.09905635137695237
West Virginia,0.16641405083941732
Wisconsin,0.10577864685286627
Wyoming,0.1072664237575055
Puerto Rico,0.4155323477704574
