skill,skill_label,total_skill_postings,total_skill_rate,total_skill_rate_pct,high_salary_skill_postings,high_salary_skill_rate,high_salary_skill_rate_pct,lift,lift_pct_point,salary_cutoff_75
skill_machine_learning,Machine Learning,171,0.05732484076433121,5.7324840764331215,122,0.16353887399463807,16.353887399463808,0.10621403323030686,10.621403323030686,123718.57999999999
skill_data_analysis,Data Analysis,1169,0.3918873617163929,39.188736171639285,335,0.44906166219839144,44.90616621983914,0.05717430048199856,5.717430048199857,123718.57999999999
skill_database,Database,255,0.08548441166610794,8.548441166610795,91,0.12198391420911528,12.198391420911529,0.03649950254300734,3.649950254300734,123718.57999999999
skill_etl,Etl,135,0.04525645323499832,4.525645323499832,53,0.07104557640750671,7.104557640750671,0.025789123172508387,2.578912317250839,123718.57999999999
skill_cloud,Cloud,136,0.045591686221924235,4.5591686221924235,53,0.07104557640750671,7.104557640750671,0.025453890185582473,2.5453890185582475,123718.57999999999
skill_statistics,Statistics,70,0.023466309084813945,2.3466309084813943,25,0.03351206434316354,3.351206434316354,0.010045755258349595,1.0045755258349596,123718.57999999999
skill_python,Python,93,0.031176667784109956,3.1176667784109955,28,0.03753351206434316,3.753351206434316,0.006356844280233205,0.6356844280233205,123718.57999999999
skill_sas,Sas,5,0.0016761649346295675,0.16761649346295676,0,0,0,-0.0016761649346295675,-0.16761649346295676,123718.57999999999
skill_tableau,Tableau,30,0.010056989607777405,1.0056989607777405,5,0.006702412868632708,0.6702412868632708,-0.0033545767391446974,-0.33545767391446973,123718.57999999999
skill_powerbi,Powerbi,51,0.01709688233322159,1.709688233322159,8,0.010723860589812333,1.0723860589812333,-0.006373021743409257,-0.6373021743409257,123718.57999999999
skill_r,R,86,0.028830036875628563,2.8830036875628564,12,0.0160857908847185,1.6085790884718498,-0.012744245990910064,-1.2744245990910064,123718.57999999999
skill_sql,Sql,232,0.07777405296681193,7.777405296681193,41,0.054959785522788206,5.495978552278821,-0.022814267444023727,-2.281426744402373,123718.57999999999
skill_communication,Communication,139,0.04659738518270198,4.659738518270197,17,0.022788203753351208,2.278820375335121,-0.02380918142935077,-2.380918142935077,123718.57999999999
skill_excel,Excel,113,0.037881327522628225,3.7881327522628223,4,0.005361930294906166,0.5361930294906166,-0.032519397227722055,-3.2519397227722053,123718.57999999999
skill_data_visualization,Data Visualization,222,0.0744217230975528,7.442172309755279,18,0.024128686327077747,2.4128686327077746,-0.050293036770475044,-5.029303677047505,123718.57999999999
skill_reporting,Reporting,763,0.255782769024472,25.5782769024472,120,0.16085790884718498,16.0857908847185,-0.09492486017728702,-9.492486017728702,123718.57999999999
